Species,Shoulder Mount,Pedestal Wall,Pedestal Floor,Full Mount,Half Mount,Bleached Skull,European Mount,Flat Skin,Back Skin
Baboon,535,589,771,1642,821,188,203,151,113
Barbary Sheep,738,812,1058,3172,1533,203,230,243,181
Black Wildebeest,872,958,1218,4127,2064,246,353,229,171
Blesbuck,567,620,810,2272,1136,150,210,103,75
Blue Duiker,567,620,810,1043,522,129,225,93,70
Blue Wildebeest,919,1011,1275,4951,2475,262,321,262,192
Bontebok,701,770,971,2422,1212,246,295,141,103
Bushbuck,535,589,771,2305,1152,150,210,103,75
Bushpig,567,620,810,1781,891,210,284,126,92
Cape Buffalo,1225,1347,1686,5656,2829,337,423,875,482
Cheetah,1150,1268,1553,3892,1946,337,423,307,225
Common Reedbuck,648,716,950,2466,1233,210,257,103,75
Crocodile,989,-,-,-,-,509,-,189 per lin.ft,189 per lin.ft
Dassie,-,-,-,438,219,92,123,54,-
Duiker (Common & Red),482,535,707,1022,511,92,123,83,64
Eland,1144,1261,1589,5165,2582,262,310,307,225
Elephant,6148,-,7703,POA,POA,674,-,27 per square ft,27 per square ft
Fallow Deer,545,598,784,2192,1096,150,210,103,75
Foxes,423,460,637,620,310,92,123,93,43
Gemsbuck,834,919,1173,4940,2470,181,241,260,192
Genet,-,-,-,589,295,92,123,54,-
Giraffe,2641,2903,3493,13472,6736,337,438,1458,802
Grysbuck,482,535,707,1022,511,92,123,83,64
Hippopotamus,3155,-,4109,POA,POA,509,-,1823,1016
Hyena,1069,1192,1456,2970,1121,337,406,180,139
Impala,530,589,766,2198,1099,139,210,103,75
Jackal,487,535,714,851,426,92,123,92,70
Klipspringer,487,535,714,1022,511,92,123,107,81
Kudu,941,1048,1301,5052,2526,220,295,262,192
Lechwe,738,812,1058,3064,1533,203,230,243,181
Leopard,1150,1268,1553,3705,1853,337,406,375,278
Lion,1685,1839,2238,4438,2219,449,530,437,321
Lynx,535,589,771,1236,618,139,177,141,103
Mountain Reedbuck,530,583,766,1796,899,139,210,103,75
Nyala,738,812,1058,3032,1516,171,230,219,161
Oribi,598,658,848,1183,592,171,214,136,103
Ostrich,969,-,-,3705,1853,139,210,360,246
Porcupine,-,-,-,969,485,139,210,-,-
Red Hartebeest,765,845,1091,4458,2229,181,241,262,192
Rhino,3475,-,-,12830,6415,509,-,27 per square ft,27 per square ft
Roan,1048,1155,1473,5165,2582,278,327,282,210
Sable,1048,1155,1430,5165,2582,278,327,282,210
Sitatunga,738,812,1058,3064,1533,210,273,253,188
Springbuck,519,578,753,1796,899,139,210,103,75
Springhare,-,-,-,567,284,92,123,54,43
Steenbuck,482,535,707,1022,511,92,123,83,64
Suni,519,578,753,1022,511,129,188,103,75
Vaal Rhebuck,509,562,740,1796,899,107,150,107,81
Vervet Monkey,491,551,719,930,465,156,188,136,103
Warthog,556,609,797,1828,915,278,327,146,107
Waterbuck,1005,1107,1379,5165,2582,220,327,262,192
Zebra,877,969,1225,5165,2582,241,327,511,337
